trade_date,r2,alpha,nobs
2017-01-03,,,0.0
2017-01-04,,,0.0
2017-01-05,,,0.0
2017-01-06,,,0.0
2017-01-09,,,0.0
2017-01-10,,,0.0
2017-01-11,,,0.0
2017-01-12,,,0.0
2017-01-13,,,0.0
2017-01-16,,,0.0
2017-01-17,,,0.0
2017-01-18,,,0.0
2017-01-19,,,0.0
2017-01-20,,,0.0
2017-01-23,,,0.0
2017-01-24,,,0.0
2017-01-25,,,0.0
2017-01-26,,,0.0
2017-02-03,,,0.0
2017-02-06,,,0.0
2017-02-07,,,0.0
2017-02-08,,,0.0
2017-02-09,,,0.0
2017-02-10,,,0.0
2017-02-13,,,0.0
2017-02-14,,,0.0
2017-02-15,,,0.0
2017-02-16,,,0.0
2017-02-17,,,0.0
2017-02-20,,,0.0
2017-02-21,,,0.0
2017-02-22,,,0.0
2017-02-23,,,0.0
2017-02-24,,,0.0
2017-02-27,,,0.0
2017-02-28,,,0.0
2017-03-01,,,0.0
2017-03-02,,,0.0
2017-03-03,,,0.0
2017-03-06,,,0.0
2017-03-07,,,0.0
2017-03-08,,,0.0
2017-03-09,,,0.0
2017-03-10,,,0.0
2017-03-13,,,0.0
2017-03-14,,,0.0
2017-03-15,,,0.0
2017-03-16,,,0.0
2017-03-17,,,0.0
2017-03-20,,,0.0
2017-03-21,,,0.0
2017-03-22,,,0.0
2017-03-23,,,0.0
2017-03-24,,,0.0
2017-03-27,,,0.0
2017-03-28,,,0.0
2017-03-29,,,0.0
2017-03-30,,,0.0
2017-03-31,,,0.0
2017-04-05,,,0.0
2017-04-06,,,0.0
2017-04-07,,,0.0
2017-04-10,,,0.0
2017-04-11,,,0.0
2017-04-12,,,0.0
2017-04-13,,,0.0
2017-04-14,,,0.0
2017-04-17,,,0.0
2017-04-18,,,0.0
2017-04-19,,,0.0
2017-04-20,,,0.0
2017-04-21,,,0.0
2017-04-24,,,0.0
2017-04-25,,,0.0
2017-04-26,,,0.0
2017-04-27,,,0.0
2017-04-28,,,0.0
2017-05-02,,,0.0
2017-05-03,,,0.0
2017-05-04,,,0.0
2017-05-05,,,0.0
2017-05-08,,,0.0
2017-05-09,,,0.0
2017-05-10,,,0.0
2017-05-11,,,0.0
2017-05-12,,,0.0
2017-05-15,,,0.0
2017-05-16,,,0.0
2017-05-17,,,0.0
2017-05-18,,,0.0
2017-05-19,,,0.0
2017-05-22,,,0.0
2017-05-23,,,0.0
2017-05-24,,,0.0
2017-05-25,,,0.0
2017-05-26,,,0.0
2017-05-31,,,0.0
2017-06-01,,,0.0
2017-06-02,,,0.0
2017-06-05,,,0.0
2017-06-06,,,0.0
2017-06-07,,,0.0
2017-06-08,,,0.0
2017-06-09,,,0.0
2017-06-12,,,0.0
2017-06-13,,,0.0
2017-06-14,,,0.0
2017-06-15,,,0.0
2017-06-16,,,0.0
2017-06-19,,,0.0
2017-06-20,,,0.0
2017-06-21,,,0.0
2017-06-22,,,0.0
2017-06-23,,,0.0
2017-06-26,,,0.0
2017-06-27,,,0.0
2017-06-28,,,0.0
2017-06-29,,,0.0
2017-06-30,,,0.0
2017-07-03,,,0.0
2017-07-04,,,0.0
2017-07-05,,,0.0
2017-07-06,,,0.0
2017-07-07,,,0.0
2017-07-10,,,0.0
2017-07-11,,,0.0
2017-07-12,,,0.0
2017-07-13,,,0.0
2017-07-14,,,0.0
2017-07-17,,,0.0
2017-07-18,,,0.0
2017-07-19,,,0.0
2017-07-20,,,0.0
2017-07-21,,,0.0
2017-07-24,,,0.0
2017-07-25,,,0.0
2017-07-26,,,0.0
2017-07-27,,,0.0
2017-07-28,,,0.0
2017-07-31,,,0.0
2017-08-01,,,0.0
2017-08-02,,,0.0
2017-08-03,,,0.0
2017-08-04,,,0.0
2017-08-07,,,0.0
2017-08-08,,,0.0
2017-08-09,,,0.0
2017-08-10,,,0.0
2017-08-11,,,0.0
2017-08-14,,,0.0
2017-08-15,,,0.0
2017-08-16,,,0.0
2017-08-17,,,0.0
2017-08-18,,,0.0
2017-08-21,,,0.0
2017-08-22,,,0.0
2017-08-23,,,0.0
2017-08-24,,,0.0
2017-08-25,,,0.0
2017-08-28,,,0.0
2017-08-29,,,0.0
2017-08-30,,,0.0
2017-08-31,,,0.0
2017-09-01,,,0.0
2017-09-04,,,0.0
2017-09-05,,,0.0
2017-09-06,,,0.0
2017-09-07,,,0.0
2017-09-08,,,0.0
2017-09-11,,,0.0
2017-09-12,,,0.0
2017-09-13,,,0.0
2017-09-14,,,0.0
2017-09-15,,,0.0
2017-09-18,,,0.0
2017-09-19,,,0.0
2017-09-20,,,0.0
2017-09-21,,,0.0
2017-09-22,,,0.0
2017-09-25,,,0.0
2017-09-26,,,0.0
2017-09-27,,,0.0
2017-09-28,,,0.0
2017-09-29,,,0.0
2017-10-09,,,0.0
2017-10-10,,,0.0
2017-10-11,,,0.0
2017-10-12,,,0.0
2017-10-13,,,0.0
2017-10-16,,,0.0
2017-10-17,,,0.0
2017-10-18,,,0.0
2017-10-19,,,0.0
2017-10-20,,,0.0
2017-10-23,,,0.0
2017-10-24,,,0.0
2017-10-25,,,0.0
2017-10-26,,,0.0
2017-10-27,,,0.0
2017-10-30,,,0.0
2017-10-31,,,0.0
2017-11-01,,,0.0
2017-11-02,,,0.0
2017-11-03,,,0.0
2017-11-06,,,0.0
2017-11-07,,,0.0
2017-11-08,,,0.0
2017-11-09,,,0.0
2017-11-10,,,0.0
2017-11-13,,,0.0
2017-11-14,,,0.0
2017-11-15,,,0.0
2017-11-16,,,0.0
2017-11-17,,,0.0
2017-11-20,,,0.0
2017-11-21,,,0.0
2017-11-22,,,0.0
2017-11-23,,,0.0
2017-11-24,,,0.0
2017-11-27,,,0.0
2017-11-28,,,0.0
2017-11-29,,,0.0
2017-11-30,,,0.0
2017-12-01,,,0.0
2017-12-04,,,0.0
2017-12-05,,,0.0
2017-12-06,,,0.0
2017-12-07,,,0.0
2017-12-08,,,0.0
2017-12-11,,,0.0
2017-12-12,,,0.0
2017-12-13,,,0.0
2017-12-14,,,0.0
2017-12-15,,,0.0
2017-12-18,,,0.0
2017-12-19,,,0.0
2017-12-20,,,0.0
2017-12-21,,,0.0
2017-12-22,,,0.0
2017-12-25,,,0.0
2017-12-26,,,0.0
2017-12-27,,,0.0
2017-12-28,,,0.0
2017-12-29,,,0.0
2018-01-02,,,0.0
2018-01-03,,,0.0
2018-01-04,,,0.0
2018-01-05,,,0.0
2018-01-08,,,0.0
2018-01-09,,,0.0
2018-01-10,,,0.0
2018-01-11,,,0.0
2018-01-12,,,0.0
2018-01-15,0.3148023021488693,0.1659114757554808,486.0
2018-01-16,0.3339832615503846,0.11390680007013824,488.0
2018-01-17,0.32039870955094985,0.07251015820958737,488.0
2018-01-18,0.31846604158789804,0.03644875006754487,490.0
2018-01-19,0.31204151224109944,0.05519395914793541,487.0
2018-01-22,0.279997307396027,0.06972503801967142,487.0
2018-01-23,0.2747954122291818,-0.0417369919249395,487.0
2018-01-24,0.2873080857781366,0.07173428611432589,489.0
2018-01-25,0.2692325631814486,0.06524355718350423,489.0
2018-01-26,0.26317513599847175,0.1272683537505642,489.0
2018-01-29,0.28107276266321835,0.1414949460630105,492.0
2018-01-30,0.2654064207153206,0.04469411708427276,492.0
2018-01-31,0.2683782611175509,-0.09907907868387394,494.0
2018-02-01,0.2859694276792296,-0.2349515736377558,496.0
2018-02-02,0.29095992229928735,-0.306439335554344,495.0
2018-02-05,0.311616815749436,-0.2977718459549755,489.0
2018-02-06,0.33618367152770323,-0.19343850100862822,481.0
2018-02-07,0.3373130786319154,-0.08059934968363332,480.0
2018-02-08,0.3505056020594184,-0.01958786451341255,478.0
2018-02-09,0.35475080358641575,-0.0015505411375102572,480.0
2018-02-12,0.3444917830324564,0.006722102297940189,481.0
2018-02-13,0.3369310255346998,0.018386855126552103,480.0
2018-02-14,0.29527311079570917,-0.011352484282393972,481.0
2018-02-22,0.29372331031584453,0.06426327524580432,482.0
2018-02-23,0.2982903046785854,-0.0062560958374146165,482.0
2018-02-26,0.2886429220271628,-0.0027668849151235107,483.0
2018-02-27,0.3021456416072903,-0.03649587815258855,482.0
2018-02-28,0.295279445780676,-0.02427564794371784,483.0
2018-03-01,0.27559624992785514,0.04367605998414795,480.0
2018-03-02,0.28465363805501964,-0.03539891248159064,480.0
2018-03-05,0.27191665585239655,-0.046780756506275806,480.0
2018-03-06,0.2874330775234424,-0.1409008835832274,479.0
2018-03-07,0.2830469033615546,-0.08203015864147896,478.0
2018-03-08,0.29612574241142275,-0.07134211695362701,477.0
2018-03-09,0.2902351055325325,-0.004282219058395925,478.0
2018-03-12,0.28950827893624487,0.043748895475697346,478.0
2018-03-13,0.307577853007013,0.05247438615562956,477.0
2018-03-14,0.3373477362668983,0.05531648657981925,477.0
2018-03-15,0.354067057635459,0.09460935773567908,477.0
2018-03-16,0.34675134465898916,0.18543310306671687,477.0
2018-03-19,0.3516263652259316,0.2110444729364523,476.0
2018-03-20,0.32153697554147675,0.2773477648457783,476.0
2018-03-21,0.32037259415714114,0.3371400442537537,475.0
