factor_key,Size,Beta,Momentum,ResVol,NLS,BTP,Liquidity,EY,Growth,Leverage
factor_add3_gap_down_3,0.006367132781925132,-0.0064926101182920404,-0.012728132999467847,-0.05551910559647087,0.007392828654120326,0.031777083542720866,-0.08145784491317186,0.024969687113017728,-0.0012202222490117977,0.0010357523718551916
factor_opt_13_main_fund_stability_w5,-0.44836851466873257,-0.23675563686027082,-0.325212867098835,-0.11139029773109739,-0.43044450017832725,0.27536542225243293,-0.5448472244011889,0.06638260886886006,-0.06978752857563247,0.01643490061719712
factor_add3_turnover_weighted_reversal_20_industry,-0.08141335156745742,-0.008333007025711795,0.04277366319893719,-0.023386664850149196,-0.07857500552458774,0.06476950710772636,-0.12505311703254904,0.018217876004781496,-0.015005495980638483,0.002389808381671413
factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5,0.0059671469976941335,-0.11340162039105248,0.049190212623083825,0.034249088364666704,0.0035557580878701673,-0.10806460768375911,-0.17746027253114788,0.007457504738197226,0.10147790840126608,-0.08211613314616573
factor_add3_intraday_hml_vol_120_industry_inv,-0.06726792263713832,-0.1297580110811246,-0.18237351890067532,-0.10991970568935863,-0.06593103063150409,0.1353956550529353,-0.3176465611434147,0.09542887153751708,0.024755429176749656,0.0027730152424451614
factor_opt_33_reinstatement_residual_vol_ratio_40_20,-0.17320935548912691,0.11619671385843648,-0.051768232668943016,-0.022270614421208996,-0.16861943137803684,0.053747191244611824,-0.165715358790999,0.008186679300477256,-0.019079434812428905,-0.018649809824730773
factor_add_06_quality_x_flow,-0.037316684354514885,-0.16660482124031065,-0.11327750437606737,-0.06874610379572053,-0.03544190435186112,0.05048870749416824,-0.3397438118409752,0.06434861102441265,0.0431926095393869,-0.006865136028184795
factor_add3_f18_decay90_industry,0.047402496342256885,0.020110180059516224,-0.0003039938281501381,-0.07804964487025136,0.04368544375405291,0.06346751309659127,-0.17670372454795785,0.08359239995488582,0.04948757911482055,-0.01249864271733641
factor_add3_overnight_reversal_3_industry_inv,0.015105715218510122,0.015730970896594528,-0.01686595038899137,-0.06388836723001841,0.014029073611725694,0.023961243257312054,-0.1237321236828096,0.03187735475379004,0.013831077738835287,-0.004137054572571478
factor_add2_adj_05_f34_15_25_industry,-0.008608471926555672,-0.01606381243390943,-0.022234140167350324,-0.04721127620174686,-0.007453842173883072,0.03771911771329404,-0.12780452551285798,0.025626862873940767,0.015514080042368837,0.0014586456397347306
